Asset Class,Asset Strategy,Asset Strategy Detail,Description,Ticker,CUSIP,Quantity,Base CCY,Local CCY,Price,PriceInd,Local Price,Today's Price Change,Price Change %,Pricing Date,Value,Today's Value Change,Value Change %,Local Value,Cost,Unit Cost,Local Unit Cost,Orig Cost (Base),Orig Cost (Local),Cost Source,Local Cost,Unrealized G/L Amt.,Orig. $ Gain/Loss (Base),Orig. $ Gain/Loss (Local),Local Unrealized G/L Amt.,Unrealized Gain/Loss (%),Orig. % Gain/Loss (Base),Orig. % Gain/Loss (Local),Local Unrealized Gain/Loss (%),Disallowed Loss (Base),Disallowed Loss (Local),Acquisition Date,Adj Date,Accrued/Income Earned,Local Accrued/Income Earned,Accrued Income,Local Accrued Income,Est. Annual Income,Local Est. Annual Income,YTM,Maturity Date,Coupon Rate,S&P Rating,Moody Rating,Buy/Call Amount,Buy/Call Currency,Sell/Put Amount,Sell/Put Currency,Market Spot Rate,Market Forward Rate,Contract Rate,Subscription Amount,Net Distributions,Used/Outstanding,Interest Rate,Finance Charges (MTD),As of,Acct Type,Accounting Method,Current Face Value,Disclaimers-Cost,Disclaimers-Quantity,Dividend Yield,Amount invested,7-day average yield,ISIN
"Equity","US Large Cap Equity","","COMCAST CORP CL A","CMCSA","20030N101","10","USD","","27.19","false","","0.15","0.56","05/01/2026 04:20:10","271.9","1.5","0.55","","277.7","27.77","","277.7","","","","-5.8","-5.8","","","-2.09","-2.09","","","","","","","6.6","","0","","13.2","","0","","0","","","0","","0","","1","0","0","10","0","271.9","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US20030N1019"
"Equity","US Small Cap Equity","","TIDAL TRUST II YIELDMAX PLTR OPTION INCOME STRATEGY ETF","PLTY","88636R800","7","USD","","35.98","false","","1.06","3.04","05/01/2026 04:16:12","251.86","7.42","3.04","","344.61","49.23","","344.61","","","","-92.75","-92.75","","","-26.91","-26.91","","","","","","","51.35","","0","","305.76","","0","","0","","","0","","0","","1","0","0","7","0","251.86","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US88636R8007"
"Equity","Global Equity","","LEXINFINTECH HOLDINGS LTD AMERICAN DEPOSITARY SHARES","LX","528877103","100","USD","","2.16","false","","0.05","2.37","05/01/2026 04:14:10","216","5","2.37","","207","2.07","","207","","","","9","9","","","4.35","4.35","","","","","","","","","0","","30.6","","0","","0","","","0","","0","","1","0","0","100","0","216","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US5288771034"
"Equity","US Large Cap Equity","","MORGAN STANLEY","MS","617446448","1","USD","","190.17","false","","-0.42","-0.22","05/01/2026 04:20:11","190.17","-0.42","-0.22","","156.07","156.07","","156.07","","","","34.1","34.1","","","21.85","21.85","","","","","","","1","","0","","4","","0","","0","","","0","","0","","1","0","0","1","0","190.17","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US6174464486"
"Equity","US Smid(Small/Mid) Cap Equity","","UDEMY INC COMMON STOCK","UDMY","902685106","7","USD","","4.93","false","","0.19","4.01","05/01/2026 04:10:10","34.51","1.33","4.01","","47.32","6.76","","47.32","","","","-12.81","-12.81","","","-27.07","-27.07","","","","","","","","","0","","","","0","","0","","","0","","0","","1","0","0","7","0","34.51","0","","05/01/2026","Cash","Original Cost","0","","","0","","","US9026851066"
"Fixed Income & Cash","Cash & Short Term","","US DOLLAR","","0USDPRAA7","-458.19","USD","","1","false","","0","0","","-458.19","0","0","","-458.19","1","","0","","","","0","0","","","0","0","","","","","","","","","0","","","","0","","0","","","0","","0","","1","0","0","-458.19","0","-458.19","0","","05/01/2026","Cash","Original Cost","0","","","0","","",""

FOOTNOTES
P,"This order is pending settlement. Day’s gain/loss may not reflect the price at time of purchase for intraday trades."
W,"This position has been identified as part of a wash sale. A wash sale occurs when you sell or trade a security at a loss and purchase the same investment either 30 days before or after the sale. As a result, you may have a disallowed loss, adjusted cost basis and adjusted unrealized gains/losses related to this tax lot. Neither J.P. Morgan Securities LLC nor its affiliates provide tax advice, and the wash sale information provided herein is for your information only. You should not use the wash sale information provided herein for tax return preparation purposes as the information may differ from information provided in your year-end tax statements. Please contact your tax advisor for additional information."
X,"Some or all of these shares include cost and/or acquisition date data not provided or validated by J.P. Morgan. Cost basis information is based on information you, your advisor or third parties have supplied. We’ve included it on your account for informational purposes only. Inaccurate cost and/or acquisition date data will result in the display of inaccurate gain/loss information regarding this holding. J.P. Morgan Securities LLC has not attempted to validate this information and disclaims all warranties of any kind related to this information, either express or implied, including, without limitation, any implied warranties of accuracy, completeness and fitness for a particular purpose."
A,"This security is held at average cost. Average cost is calculated by dividing the total amount purchased by the number of shares owned."
C,"This is a covered security. Cost basis and realized gains/losses for covered lots will be reported to the IRS on Form 1099-B. Please contact your tax advisor for additional information."
